,Kingdom,Phylum,Class,Order,Family,Genus
ASV4910,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rubripirellula
ASV4911,Bacteria,Bacteroidetes,Bacteroidia,NA,NA,NA
ASV4912,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia
ASV4913,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV4914,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Coraliomargarita
ASV4915,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter
ASV4916,Bacteria,Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Phormidesmiaceae,Acrophormium_PCC-7375
ASV4917,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
ASV4918,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV4919,Bacteria,Proteobacteria,NA,NA,NA,NA
ASV4920,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV4921,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Psychrosphaera
ASV4922,Bacteria,NA,NA,NA,NA,NA
ASV4923,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,NA
ASV4924,Bacteria,Bacteroidetes,Bacteroidia,NA,NA,NA
ASV4925,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
ASV4926,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus
ASV4927,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,NA
ASV4928,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA
ASV4929,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
ASV4930,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Coleofasciculaceae,Symploca_PCC-8002
ASV4931,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV4932,Bacteria,Bacteroidetes,Bacteroidia,NA,NA,NA
ASV4933,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV4934,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula
